ID,TYPE,MODEL,BATTERY,BATTERYLIFE,HARDDISK,HARDDISKLIFE,PROCESSOR,PROCESSORLIFE,COOLINGFAN,COOLINGFANLIFE,sum,dailyuse
1610110001,Office,O1,3000,17,4000,15,3700,20,350,19,71,7
1610110002,Home,H1,2500,14,3000,22,2200,28,300,33,97,5
1610110003,Home,H2,3500,35,4500,30,3200,38,400,29,132,4
1610110004,Office,O1,3000,17,4000,14,3700,17,350,21,69,7
1610113881,Gaming,G1,5000,6,6000,10,5200,19,500,21,56,9
1610110006,Home,H2,3500,32,4500,25,3200,37,400,33,127,4
1310115075,Gaming,G1,5000,8,6000,7,5200,18,500,32,65,8
1410113198,Gaming,G1,5000,9,6000,11,5200,19,500,24,63,8
1610110009,Student,S1,1500,12,4500,18,2500,15,350,20,65,8
1610110010,Home,H1,2500,16,3000,23,2200,23,300,30,92,5
1610110011,Office,O3,4500,43,6500,31,5500,30,600,37,141,4
1610110012,Student,S1,1500,10,4500,18,2500,14,350,23,65,8
1610110013,Office,O3,4500,44,6500,34,5500,28,600,37,143,3
1610110014,Home,H3,4500,46,5500,36,4300,43,550,40,165,3
1610110015,Home,H2,3500,34,4500,38,3200,37,400,30,139,4
1510112727,Gaming,G1,5000,4,6000,9,5200,18,500,29,60,8
1610110017,Student,S1,1500,11,4500,16,2500,19,350,25,71,7
1610110018,Student,S1,1500,10,4500,14,2500,14,350,25,63,8
1610110019,Office,O2,3800,29,5000,15,4400,28,450,29,101,5
1610110020,Office,O1,3000,11,4000,11,3700,18,350,17,57,9
1510120881,Gaming,G1,5000,10,6000,10,5200,22,500,25,67,7
1410116257,Gaming,G1,5000,8,6000,9,5200,18,500,22,57,9
1610110023,Home,H1,2500,16,3000,22,2200,23,300,26,87,6
1610110024,Student,S2,2500,25,7000,32,3500,20,500,23,100,5
1610110025,Student,S2,2500,21,7000,29,3500,23,500,35,108,5
1610110026,Home,H1,2500,16,3000,19,2200,22,300,28,85,6
1610110027,Office,O3,4500,45,6500,31,5500,31,600,34,141,4
1610110028,Student,S3,3500,44,8000,42,4150,27,600,33,146,3
1610110029,Home,H2,3500,38,4500,31,3200,35,400,25,129,4
1610110030,Office,O2,3800,30,5000,19,4400,27,450,29,105,5
1610110031,Office,O1,3000,15,4000,10,3700,22,350,23,70,7
1610110032,Student,S2,2500,29,7000,25,3500,20,500,30,104,5
1610110033,Student,S2,2500,24,7000,30,3500,18,500,28,100,5
1410116797,Gaming,G1,5000,10,6000,11,5200,20,500,28,69,7
1610110035,Home,H1,2500,16,3000,20,2200,25,300,28,89,6
1410119318,Gaming,G1,5000,9,6000,7,5200,16,500,26,58,9
1410110353,Gaming,G1,5000,10,6000,11,5200,17,500,25,63,8
1610110038,Office,O2,3800,28,5000,18,4400,23,450,26,95,5
1610110039,Office,O3,4500,43,6500,34,5500,27,600,35,139,4
1610110040,Home,H1,2500,15,3000,25,2200,21,300,24,85,6
1610110041,Office,O3,4500,42,6500,13,5500,28,600,39,122,4
1610110042,Student,S2,2500,23,7000,19,3500,21,500,30,93,5
1610110043,Office,O3,4500,45,6500,12,5500,30,600,32,119,4
1610110044,Office,O2,3800,27,5000,44,4400,21,450,23,115,4
1410117897,Gaming,G1,5000,11,6000,45,5200,17,500,29,102,5
1610110046,Home,H3,4500,56,5500,51,4300,41,550,31,179,3
1610110047,Home,H1,2500,14,3000,45,2200,19,300,27,105,5
1610110048,Office,O3,4500,40,6500,33,5500,27,600,34,134,4
1610110049,Student,S1,1500,11,4500,52,2500,15,350,20,98,5
1610110050,Home,H3,4500,47,5500,30,4300,47,550,33,157,3
1610110051,Home,H3,4500,55,5500,16,4300,35,550,42,148,3
1310115954,Gaming,G1,5000,13,6000,19,5200,21,500,28,81,6
1610110053,Home,H2,3500,33,4500,20,3200,33,400,31,117,4
1610110054,Home,H1,2500,15,3000,22,2200,23,300,27,87,6
1610110055,Student,S1,1500,11,4500,42,2500,14,350,23,90,6
1610110056,Office,O1,3000,15,4000,28,3700,22,350,22,87,6
1610110057,Home,H1,2500,15,3000,49,2200,24,300,25,113,4
1610110058,Home,H2,3500,33,4500,49,3200,28,400,28,138,4
1610110059,Office,O1,3000,15,4000,24,3700,21,350,22,82,6
1610110060,Office,O3,4500,43,6500,16,5500,29,600,42,130,4
1210117012,Gaming,G1,5000,8,6000,46,5200,18,500,24,96,5
1110115527,Gaming,G1,5000,7,6000,36,5200,17,500,32,92,5
1610110063,Office,O2,3800,27,5000,42,4400,21,450,29,119,4
1610110064,Student,S1,1500,11,4500,17,2500,12,350,27,67,7
1610110065,Student,S3,3500,39,8000,42,4150,24,600,26,131,4
1110119598,Gaming,G1,5000,9,6000,36,5200,16,500,25,86,6
1610110067,Student,S1,1500,12,4500,16,2500,19,350,24,71,7
1610110068,Home,H2,3500,35,4500,16,3200,31,400,40,122,4
1610110069,Home,H1,2500,15,3000,14,2200,28,300,23,80,6
1610116247,Gaming,G1,5000,6,6000,40,5200,13,500,24,83,6
1510110199,Gaming,G1,5000,10,6000,50,5200,20,500,25,105,5
1610110072,Office,O3,4500,37,6500,36,5500,26,600,36,135,4
1610110073,Home,H1,2500,13,3000,14,2200,27,300,26,80,6
1610110074,Office,O3,4500,34,6500,46,5500,29,600,39,148,3
1610110075,Home,H1,2500,16,3000,22,2200,30,300,25,93,5
1610110076,Home,H1,2500,14,3000,10,2200,29,300,29,82,6
1610110077,Office,O2,3800,35,5000,36,4400,22,450,25,118,4
1410115483,Gaming,G1,5000,8,6000,27,5200,22,500,28,85,6
1610110079,Student,S1,1500,11,4500,49,2500,16,350,26,102,5
1610110080,Office,O2,3800,32,5000,26,4400,23,450,27,108,5
1610110081,Home,H2,3500,28,4500,24,3200,31,400,32,115,4
1610110082,Office,O1,3000,12,4000,10,3700,19,350,20,61,8
1610110083,Student,S1,1500,11,4500,50,2500,12,350,25,98,5
1310111046,Gaming,G1,5000,12,6000,27,5200,20,500,25,84,6
1310112688,Gaming,G1,5000,8,6000,14,5200,18,500,29,69,7
1610110086,Home,H3,4500,44,5500,48,4300,32,550,39,163,3
1610110087,Office,O1,3000,14,4000,26,3700,21,350,21,82,6
1610110088,Home,H1,2500,17,3000,30,2200,28,300,24,99,5
1110112859,Gaming,G1,5000,5,6000,32,5200,18,500,25,80,6
1110114019,Gaming,G1,5000,14,6000,26,5200,18,500,27,85,6
1610110091,Office,O2,3800,27,5000,38,4400,24,450,22,111,5
1610115075,Gaming,G1,5000,14,6000,52,5200,19,500,24,109,5
1610110093,Home,H1,2500,14,3000,15,2200,28,300,31,88,6
1610110094,Office,O3,4500,35,6500,10,5500,31,600,37,113,4
1610119108,Gaming,G1,5000,8,6000,18,5200,21,500,25,72,7
1610110096,Office,O2,3800,35,5000,43,4400,23,450,33,134,4
1610110097,Office,O2,3800,29,5000,41,4400,22,450,32,124,4
1610110098,Office,O3,4500,45,6500,45,5500,32,600,35,157,3
1410115649,Gaming,G1,5000,3,6000,8,5200,18,500,29,58,9
1410116406,Gaming,G1,5000,9,6000,49,5200,18,500,27,103,5
1610110101,Home,H3,4500,45,5500,10,4300,38,550,39,132,4
1310113464,Gaming,G1,5000,9,6000,14,5200,20,500,26,69,7
1610110103,Office,O3,4500,43,6500,22,5500,27,600,41,133,4
1610110104,Office,O2,3800,31,5000,21,4400,19,450,26,97,5
1610110105,Student,S3,3500,39,8000,53,4150,31,600,35,158,3
1610110106,Home,H3,4500,56,5500,13,4300,34,550,35,138,4
1610110107,Office,O3,4500,38,6500,44,5500,30,600,36,148,3
1610110108,Student,S3,3500,33,8000,10,4150,25,600,31,99,5
1610110109,Student,S3,3500,43,8000,24,4150,24,600,29,120,4
1610110110,Student,S1,1500,12,4500,29,2500,16,350,21,78,6
1110112590,Gaming,G1,5000,15,6000,7,5200,18,500,32,72,7
1610110112,Office,O3,4500,44,6500,37,5500,26,600,40,147,3
1110112958,Gaming,G1,5000,7,6000,52,5200,21,500,28,108,5
1610110114,Home,H3,4500,45,5500,36,4300,37,550,38,156,3
1610110115,Office,O1,3000,15,4000,26,3700,22,350,20,83,6
1610110116,Office,O3,4500,42,6500,50,5500,34,600,33,159,3
1610110511,Gaming,G1,5000,15,6000,21,5200,17,500,29,82,6
1610110118,Home,H1,2500,15,3000,33,2200,27,300,25,100,5
1610110119,Office,O3,4500,38,6500,19,5500,34,600,35,126,4
1610110120,Student,S1,1500,12,4500,16,2500,15,350,30,73,7
1610110121,Student,S1,1500,11,4500,48,2500,16,350,22,97,5
1610110122,Student,S1,1500,12,4500,41,2500,12,350,23,88,6
1610110123,Student,S3,3500,35,8000,9,4150,23,600,41,108,5
1610110124,Home,H1,2500,17,3000,13,2200,22,300,28,80,6
1610114235,Gaming,G1,5000,12,6000,18,5200,21,500,35,86,6
1610110126,Student,S3,3500,35,8000,25,4150,20,600,32,112,4
1610110127,Office,O2,3800,32,5000,49,4400,23,450,28,132,4
1610110128,Office,O2,3800,26,5000,42,4400,20,450,34,122,4
1610110129,Office,O1,3000,13,4000,23,3700,24,350,24,84,6
1610110130,Student,S3,3500,40,8000,35,4150,25,600,32,132,4
1610110131,Home,H2,3500,28,4500,21,3200,33,400,36,118,4
1610110132,Office,O2,3800,27,5000,28,4400,21,450,31,107,5
1610110133,Home,H2,3500,40,4500,21,3200,29,400,37,127,4
1610110134,Home,H1,2500,13,3000,29,2200,27,300,18,87,6
1610110135,Office,O3,4500,48,6500,53,5500,31,600,35,167,3
1610110136,Student,S1,1500,13,4500,19,2500,13,350,23,68,7
1510110619,Gaming,G1,5000,14,6000,41,5200,19,500,25,99,5
1510113824,Gaming,G1,5000,12,6000,17,5200,18,500,30,77,6
1610110139,Student,S3,3500,37,8000,38,4150,22,600,38,135,4
1610110140,Home,H1,2500,16,3000,33,2200,25,300,24,98,5
1410110670,Gaming,G1,5000,8,6000,17,5200,17,500,26,68,7
1610110142,Student,S2,2500,27,7000,10,3500,19,500,25,81,6
1410117717,Gaming,G1,5000,11,6000,48,5200,21,500,26,106,5
1610110144,Home,H3,4500,54,5500,33,4300,36,550,31,154,3
1610110145,Home,H2,3500,42,4500,19,3200,30,400,33,124,4
1610110146,Home,H2,3500,29,4500,21,3200,29,400,33,112,4
1610110147,Student,S3,3500,37,8000,49,4150,25,600,31,142,4
1310114201,Gaming,G1,5000,12,6000,43,5200,21,500,28,104,5
1210111094,Gaming,G1,5000,13,6000,9,5200,18,500,32,72,7
1210114136,Gaming,G1,5000,14,6000,16,5200,23,500,29,82,6
1210116302,Gaming,G1,5000,10,6000,28,5200,21,500,24,83,6
1210118086,Gaming,G1,5000,6,6000,10,5200,18,500,26,60,8
1610110153,Office,O3,4500,40,6500,42,5500,33,600,33,148,3
1110111967,Gaming,G1,5000,8,6000,52,5200,21,500,24,105,5
1610110155,Home,H3,4500,46,5500,28,4300,39,550,38,151,3
1610110156,Office,O3,4500,34,6500,24,5500,31,600,34,123,4
1610110157,Office,O2,3800,32,5000,51,4400,25,450,25,133,4
1610110158,Home,H3,4500,40,5500,10,4300,36,550,43,129,4
1610110159,Student,S1,1500,13,4500,32,2500,16,350,26,87,6
1110113775,Gaming,G1,5000,9,6000,38,5200,19,500,30,96,5
1610110161,Home,H3,4500,49,5500,51,4300,45,550,42,187,3
1610110162,Student,S3,3500,44,8000,51,4150,28,600,36,159,3
1110118057,Gaming,G1,5000,13,6000,10,5200,20,500,25,68,7
1610113714,Gaming,G1,5000,8,6000,26,5200,14,500,28,76,7
1610110165,Home,H1,2500,13,3000,14,2200,25,300,28,80,6
1610110166,Home,H1,2500,16,3000,15,2200,29,300,25,85,6
1610110167,Home,H3,4500,44,5500,7,4300,35,550,40,126,4
1610110168,Office,O1,3000,11,4000,16,3700,24,350,19,70,7
1610110169,Student,S2,2500,24,7000,20,3500,18,500,28,90,6
1610110170,Home,H1,2500,15,3000,47,2200,26,300,29,117,4
1610117384,Gaming,G1,5000,6,6000,47,5200,20,500,22,95,5
1610110172,Office,O2,3800,29,5000,7,4400,24,450,27,87,6
1610110173,Student,S1,1500,11,4500,28,2500,14,350,28,81,6
1610110174,Office,O1,3000,11,4000,22,3700,22,350,18,73,7
1610119175,Gaming,G1,5000,13,6000,8,5200,18,500,27,66,8
1610110176,Home,H2,3500,32,4500,28,3200,32,400,28,120,4
1610110177,Office,O2,3800,34,5000,20,4400,24,450,26,104,5
1610110178,Student,S3,3500,34,8000,39,4150,27,600,36,136,4
1510111406,Gaming,G1,5000,6,6000,42,5200,23,500,28,99,5
1610110180,Student,S1,1500,12,4500,33,2500,16,350,22,83,6
1510113768,Gaming,G1,5000,9,6000,37,5200,18,500,29,93,5
1610110182,Student,S3,3500,35,8000,21,4150,26,600,33,115,4
1610110183,Student,S3,3500,40,8000,15,4150,28,600,34,117,4
1610110184,Student,S1,1500,10,4500,11,2500,16,350,20,57,9
1610110185,Home,H2,3500,33,4500,53,3200,35,400,30,151,3
1610110186,Student,S2,2500,22,7000,26,3500,22,500,25,95,5
1610110187,Office,O3,4500,40,6500,19,5500,32,600,40,131,4
1610110188,Student,S1,1500,9,4500,36,2500,16,350,24,85,6
1610110189,Home,H3,4500,39,5500,36,4300,37,550,40,152,3
1610110190,Home,H1,2500,16,3000,25,2200,26,300,28,95,5
1510117941,Gaming,G1,5000,7,6000,42,5200,19,500,23,91,5
1610110192,Home,H2,3500,34,4500,18,3200,34,400,34,120,4
1610110193,Student,S2,2500,27,7000,39,3500,20,500,29,115,4
1610110194,Home,H1,2500,15,3000,25,2200,32,300,29,101,5
1610110195,Home,H2,3500,30,4500,20,3200,29,400,36,115,4
1510118281,Gaming,G1,5000,8,6000,45,5200,14,500,33,100,5
1610110197,Office,O2,3800,28,5000,16,4400,26,450,28,98,5
1410112942,Gaming,G1,5000,15,6000,12,5200,19,500,28,74,7
1610110199,Student,S3,3500,38,8000,52,4150,27,600,38,155,3
1610110200,Student,S3,3500,41,8000,49,4150,25,600,37,152,3
1310110160,Gaming,G1,5000,14,6000,50,5200,15,500,23,102,5
1610110202,Home,H1,2500,15,3000,16,2200,23,300,26,80,6
1610110203,Student,S1,1500,9,4500,30,2500,14,350,27,80,6
1310112091,Gaming,G1,5000,15,6000,44,5200,18,500,31,108,5
1610110205,Home,H3,4500,49,5500,20,4300,38,550,43,150,3
1310112559,Gaming,G1,5000,9,6000,31,5200,17,500,34,91,5
1610110207,Student,S2,2500,23,7000,13,3500,19,500,25,80,6
1610110208,Office,O2,3800,26,5000,37,4400,17,450,29,109,5
1310115470,Gaming,G1,5000,12,6000,53,5200,20,500,30,115,4
1210110141,Gaming,G1,5000,10,6000,51,5200,16,500,21,98,5
1610110211,Office,O3,4500,48,6500,22,5500,28,600,42,140,4
1610110212,Student,S2,2500,25,7000,47,3500,19,500,26,117,4
1610110213,Office,O2,3800,30,5000,12,4400,22,450,29,93,5
1610110214,Office,O1,3000,14,4000,24,3700,20,350,19,77,6
1210115258,Gaming,G1,5000,6,6000,8,5200,22,500,24,60,8
1610110216,Home,H3,4500,48,5500,21,4300,44,550,45,158,3
1610110217,Office,O3,4500,47,6500,26,5500,32,600,34,139,4
1210116537,Gaming,G1,5000,9,6000,25,5200,16,500,28,78,6
1210119132,Gaming,G1,5000,11,6000,14,5200,19,500,30,74,7
1610110220,Student,S1,1500,12,4500,35,2500,14,350,22,83,6
1610110221,Home,H3,4500,49,5500,36,4300,41,550,31,157,3
1610110222,Office,O2,3800,30,5000,19,4400,20,450,27,96,5
1610110223,Student,S1,1500,10,4500,44,2500,17,350,24,95,5
1610110224,Office,O1,3000,11,4000,51,3700,16,350,23,101,5
1610110225,Home,H1,2500,16,3000,51,2200,21,300,26,114,4
1610110226,Office,O3,4500,37,6500,38,5500,30,600,35,140,4
1610110227,Office,O1,3000,13,4000,34,3700,19,350,22,88,6
1610110228,Home,H1,2500,15,3000,22,2200,22,300,26,85,6
1610110229,Student,S3,3500,29,8000,27,4150,30,600,32,118,4
1610110230,Home,H3,4500,49,5500,11,4300,37,550,38,135,4
1610110231,Office,O1,3000,16,4000,20,3700,20,350,21,77,6
1610110232,Office,O3,4500,41,6500,23,5500,27,600,30,121,4
1610110233,Home,H2,3500,27,4500,40,3200,30,400,36,133,4
1610110234,Home,H3,4500,45,5500,38,4300,42,550,41,166,3
1110114434,Gaming,G1,5000,10,6000,19,5200,19,500,24,72,7
1610110236,Student,S2,2500,21,7000,31,3500,24,500,28,104,5
1610110237,Office,O1,3000,14,4000,45,3700,22,350,22,103,5
1610110238,Home,H3,4500,52,5500,16,4300,36,550,44,148,3
1610110239,Student,S3,3500,37,8000,28,4150,29,600,35,129,4
1610110240,Home,H1,2500,14,3000,28,2200,21,300,23,86,6
1610110241,Office,O2,3800,31,5000,28,4400,18,450,28,105,5
1610110242,Student,S3,3500,34,8000,22,4150,26,600,36,118,4
1610110243,Office,O3,4500,40,6500,30,5500,27,600,35,132,4
1610110244,Office,O3,4500,41,6500,26,5500,32,600,39,138,4
1610110245,Student,S3,3500,35,8000,19,4150,24,600,32,110,5
1610110246,Student,S1,1500,12,4500,7,2500,17,350,26,62,8
1610110247,Office,O1,3000,14,4000,21,3700,22,350,20,77,6
1610110248,Home,H2,3500,31,4500,50,3200,34,400,37,152,3
1610110249,Office,O1,3000,13,4000,20,3700,20,350,19,72,7
1610110250,Student,S1,1500,10,4500,53,2500,18,350,21,102,5
1610110251,Student,S1,1500,11,4500,22,2500,14,350,25,72,7
1610110252,Home,H1,2500,16,3000,45,2200,30,300,25,116,4
1610110253,Student,S3,3500,30,8000,31,4150,26,600,31,118,4
1610110254,Student,S3,3500,32,8000,15,4150,26,600,30,103,5
1610110255,Home,H2,3500,33,4500,28,3200,28,400,24,113,4
1610110256,Office,O1,3000,17,4000,42,3700,18,350,17,94,5
1610110257,Office,O2,3800,30,5000,47,4400,29,450,25,131,4
1110114782,Gaming,G1,5000,8,6000,26,5200,16,500,21,71,7
1610110259,Student,S3,3500,29,8000,39,4150,24,600,34,126,4
1610110260,Home,H1,2500,15,3000,20,2200,23,300,25,83,6
1610110261,Student,S3,3500,35,8000,24,4150,27,600,29,115,4
1610110262,Office,O3,4500,42,6500,38,5500,30,600,34,144,3
1610110263,Home,H2,3500,32,4500,32,3200,36,400,34,134,4
1610110264,Office,O3,4500,40,6500,18,5500,28,600,37,123,4
1610110265,Office,O3,4500,33,6500,35,5500,34,600,35,137,4
1610110266,Student,S2,2500,21,7000,30,3500,19,500,27,97,5
1610110267,Student,S2,2500,28,7000,17,3500,19,500,27,91,5
1610110268,Office,O2,3800,36,5000,21,4400,21,450,35,113,4
1610110269,Office,O2,3800,27,5000,17,4400,22,450,31,97,5
1610110270,Student,S1,1500,11,4500,28,2500,11,350,22,72,7
1110118320,Gaming,G1,5000,12,6000,49,5200,22,500,27,110,5
1110121252,Gaming,G1,5000,7,6000,52,5200,16,500,25,100,5
1610110273,Office,O1,3000,16,4000,8,3700,17,350,24,65,8
1610110478,Gaming,G1,5000,3,6000,8,5200,19,500,27,57,9
1610110275,Office,O3,4500,42,6500,39,5500,27,600,36,144,3
1510112191,Gaming,G1,5000,11,6000,28,5200,19,500,23,81,6
1610110277,Student,S3,3500,33,8000,21,4150,27,600,33,114,4
1410110496,Gaming,G1,5000,6,6000,20,5200,17,500,26,69,7
1610110279,Student,S3,3500,30,8000,24,4150,19,600,33,106,5
1610110280,Student,S2,2500,26,7000,17,3500,21,500,28,92,5
